--- 理财记录 ---,,,,,,,,
日期,类型,基金名称,基金代码,金额,手续费,净值,份额,备注
2026-03-24,买入,摩根纳斯达克100指数（QDII）A,019172,,0.01,1.53,6.53,
2026-03-24,买入,摩根纳斯达克100指数（QDII）A,019172,,0.01,1.55,6.46,
2026-03-24,买入,摩根纳斯达克100指数（QDII）A,019172,,0.01,1.53,6.52,
2026-03-24,买入,摩根纳斯达克100指数（QDII）A,019172,,0.01,1.55,6.44,
2026-03-24,买入,摩根纳斯达克100指数（QDII）A,019172,,0.01,1.52,6.57,
2026-03-24,买入,摩根纳斯达克100指数（QDII）A,019172,,0.01,1.49,6.71,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.39,7.20,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.43,7.01,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.39,7.20,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.43,7.01,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.45,6.91,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.40,7.12,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.38,7.25,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.32,7.54,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.34,7.45,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.35,7.40,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.34,7.44,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.30,7.68,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.26,7.92,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.28,7.78,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.33,7.53,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.34,7.46,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.40,7.14,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.39,7.20,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.40,7.15,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.41,7.06,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.43,7.01,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.41,7.06,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.44,17.37,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.46,17.05,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.47,16.96,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.47,16.96,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.49,16.76,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.49,16.74,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.49,16.79,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.51,16.51,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.50,16.67,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.51,16.53,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.50,16.60,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.52,16.41,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.54,16.26,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.54,16.16,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.56,15.97,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.55,16.12,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.55,16.07,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.57,15.88,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.58,15.78,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.54,16.19,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.57,6.34,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.01,1.58,6.32,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.59,15.74,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.55,16.12,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.59,15.68,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.57,15.90,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.58,15.76,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.58,15.78,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.57,15.90,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.59,15.74,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.56,15.98,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.57,15.88,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.56,15.99,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.03,1.57,15.89,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.06,1.53,32.65,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.06,1.50,33.33,
2026-03-24,买入,摩根标普500指数（QDII）A,017641,,0.02,1.49,12.50,
2026-04-08,买入,鹏华弘利灵活配置混合C,001123,,0.00,1.77,18.04,
2026-04-08,买入,国泰CES半导体芯片行业ETF联接E,022497,,0.00,1.93,14.51,
2026-04-08,买入,富国中债7-10年政策性金融债ETF联接C,018267,,0.00,1.13,88.31,
2026-04-08,买入,摩根纳斯达克100指数（QDII）A,019172,,0.01,1.51,6.61,
2026-04-08,买入,摩根标普500指数（QDII）A,017641,,0.06,1.53,32.70,
2026-04-08,买入,富国上海金ETF联接C,009505,,0.00,2.23,4.49,
2026-04-15,买入,国泰CES半导体芯片行业ETF联接E,022497,,0.00,2.01,24.89,
2026-04-15,买入,富国中债7-10年政策性金融债ETF联接C,018267,,0.00,1.14,88.08,
2026-04-15,买入,摩根纳斯达克100指数（QDII）A,019172,,0.01,1.58,6.31,
2026-04-15,买入,摩根标普500指数（QDII）A,017641,,0.12,1.58,63.31,
2026-04-15,买入,易方达中证红利ETF联接A,009051,,0.04,1.29,46.66,
2026-04-15,买入,富国上海金ETF联接C,009505,,0.00,2.22,18.01,
2026-04-15,买入,博时中证红利低波动100指数C,091853,,0.14,1.13,123.50,
2026-04-21,买入,摩根纳斯达克100指数（QDII）A,019172,,0.01,1.60,6.25,
2026-04-21,买入,摩根标普500指数（QDII）A,017641,,0.12,1.59,62.93,
2026-04-22,买入,富国上海金ETF联接C,009505,,0.00,2.21,4.53,
2026-04-22,买入,国泰CES半导体芯片行业ETF联接E,022497,,0.00,2.10,9.98,
2026-04-22,买入,富国中债7-10年政策性金融债ETF联接C,018267,,0.00,1.14,87.83,
2026-04-22,买入,博时中证红利低波动100指数C,091853,,0.06,1.13,52.91,
2026-04-22,买入,易方达中证红利ETF联接A,009051,,0.02,1.29,23.20,
2026-04-28,买入,摩根纳斯达克100指数（QDII）A,019172,,0.01,1.63,6.13,
2026-04-28,买入,摩根标普500指数（QDII）A,017641,,0.12,1.61,62.23,
2026-04-29,买入,富国上海金ETF联接C,009505,,0.00,2.13,4.71,
2026-04-29,买入,国泰CES半导体芯片行业ETF联接E,022497,,0.00,2.17,9.21,
2026-04-29,买入,富国中债7-10年政策性金融债ETF联接C,018267,,0.00,1.14,87.93,
2026-04-29,买入,博时中证红利低波动100指数C,091853,,0.05,1.14,43.76,
2026-04-29,买入,易方达中证红利ETF联接A,009051,,0.02,1.32,22.69,
2026-05-06,买入,摩根纳斯达克100指数（QDII）A,019172,,0.01,1.72,5.82,
2026-05-06,买入,摩根标普500指数（QDII）A,017641,,0.12,1.65,60.43,
2026-05-06,买入,富国上海金ETF联接C,009505,,0.00,2.16,4.63,
2026-05-06,买入,国泰CES半导体芯片行业ETF联接E,022497,,0.00,2.40,8.35,
2026-05-06,买入,富国中债7-10年政策性金融债ETF联接C,018267,,0.00,1.14,88.07,
2026-05-06,买入,博时中证红利低波动100指数C,091853,,0.05,1.14,43.99,
2026-05-06,买入,易方达中证红利ETF联接A,009051,,0.02,1.32,22.69,
2026-05-12,买入,摩根纳斯达克100指数（QDII）A,019172,,0.01,1.74,5.74,
2026-05-12,买入,摩根标普500指数（QDII）A,017641,,0.12,1.66,60.21,
2026-05-13,买入,富国上海金ETF联接C,009505,,0.00,2.16,4.62,
2026-05-13,买入,国泰CES半导体芯片行业ETF联接E,022497,,0.00,2.58,7.74,
2026-05-19,买入,摩根纳斯达克100指数（QDII）A,019172,,0.01,1.73,5.79,
2026-05-19,买入,摩根标普500指数（QDII）A,017641,,0.12,1.65,60.56,
2026-05-20,买入,富国上海金ETF联接C,009505,,0.00,2.07,4.84,
2026-05-20,买入,国泰CES半导体芯片行业ETF联接E,022497,,0.00,2.74,7.30,
2026-05-20,买入,富国中债7-10年政策性金融债ETF联接C,018267,,0.00,1.14,87.63,
2026-05-20,买入,博时中证红利低波动100指数C,091853,,0.02,1.27,23.53,
2026-05-20,买入,易方达中证红利ETF联接A,009051,,0.05,1.12,44.63,
2026-05-26,买入,摩根纳斯达克100指数（QDII）A,019172,,0.01,1.79,5.58,
2026-05-26,买入,摩根标普500指数（QDII）A,017641,,0.12,1.68,59.40,
2026-05-27,买入,富国上海金ETF联接C,009505,,0.00,2.06,4.85,
2026-05-27,买入,国泰CES半导体芯片行业ETF联接E,022497,,0.00,2.80,7.14,
2026-05-27,买入,富国中债7-10年政策性金融债ETF联接C,018267,,0.00,1.15,87.27,
2026-05-27,买入,博时中证红利低波动100指数C,091853,,0.05,1.11,45.05,
2026-05-27,买入,易方达中证红利ETF联接A,009051,,0.02,1.25,23.96,
2026-06-01,卖出,国泰CES半导体芯片行业ETF联接E,022497,,0.00,2.53,460.00,
2026-06-02,买入,摩根纳斯达克100指数（QDII）A,019172,,0.01,1.82,5.48,
2026-06-02,买入,摩根标普500指数（QDII）A,017641,,0.12,1.70,58.79,
2026-06-03,买入,富国上海金ETF联接C,009505,,0.00,1.15,87.26,
2026-06-03,买入,富国中债7-10年政策性金融债ETF联接C,018267,,0.00,2.05,4.88,
2026-06-03,买入,博时中证红利低波动100指数C,091853,,0.05,1.13,44.38,
2026-06-03,买入,易方达中证红利ETF联接A,009051,,0.02,1.29,23.22,
